,filename,label
174,My Drive/set_b/murmur__196_1308141034858_B.wav,murmur
175,My Drive/set_b/murmur__165_1307109069581_C2.wav,murmur
176,My Drive/set_b/murmur__195_1308140095331_C1.wav,murmur
177,My Drive/set_b/murmur_noisymurmur_162_1307101835989_D.wav,murmur
178,My Drive/set_b/murmur__288_1311164615284_D.wav,murmur
179,My Drive/set_b/murmur__248_1309201683806_A.wav,murmur
180,My Drive/set_b/murmur_noisymurmur_161_1307101199321_C.wav,murmur
181,My Drive/set_b/murmur_noisymurmur_135_1306428972976_A.wav,murmur
182,My Drive/set_b/murmur__276_1311162716489_C.wav,murmur
183,My Drive/set_b/murmur__239_1309195730333_C.wav,murmur
184,My Drive/set_b/murmur_noisymurmur_156_1306936373241_B1.wav,murmur
185,My Drive/set_b/murmur__292_1311185449649_C.wav,murmur
186,My Drive/set_b/murmur__281_1311165683454_B.wav,murmur
187,My Drive/set_b/murmur_noisymurmur_135_1306428972976_B.wav,murmur
188,My Drive/set_b/murmur_noisymurmur_162_1307101835989_B_1.wav,murmur
189,My Drive/set_b/murmur__254_1309350589009_D.wav,murmur
190,My Drive/set_b/murmur__242_1309197394064_B.wav,murmur
191,My Drive/set_b/murmur_noisymurmur_165_1307109069581_D.wav,murmur
192,My Drive/set_b/murmur__248_1309201683806_C.wav,murmur
193,My Drive/set_b/murmur__281_1311165683454_D.wav,murmur
194,My Drive/set_b/murmur__239_1309195730333_B.wav,murmur
195,My Drive/set_b/murmur__254_1309350589009_C.wav,murmur
196,My Drive/set_b/murmur_noisymurmur_165_1307109069581_A.wav,murmur
197,My Drive/set_b/murmur__240_1309196119795_B.wav,murmur
198,My Drive/set_b/murmur_noisymurmur_161_1307101199321_B.wav,murmur
199,My Drive/set_b/murmur__281_1311165683454_A.wav,murmur
200,My Drive/set_b/murmur_noisymurmur_135_1306428972976_C.wav,murmur
201,My Drive/set_b/murmur__287_1311170903290_C.wav,murmur
202,My Drive/set_b/murmur__240_1309196119795_C.wav,murmur
203,My Drive/set_b/murmur__240_1309201366049_B.wav,murmur
204,My Drive/set_b/murmur_noisymurmur_160_1307100683334_D.wav,murmur
205,My Drive/set_b/murmur__242_1309197394064_D.wav,murmur
206,My Drive/set_b/murmur_noisymurmur_156_1306936373241_A.wav,murmur
207,My Drive/set_b/murmur__254_1309350589009_A1.wav,murmur
208,My Drive/set_b/murmur_noisymurmur_288_1311164615284_C.wav,murmur
209,My Drive/set_b/normal__117_1306262456650_B.wav,normal
210,My Drive/set_b/murmur_noisymurmur_293_1311680805936_C.wav,murmur
211,My Drive/set_b/normal__128_1306344005749_D1.wav,normal
212,My Drive/set_b/normal__127_1306764300147_B.wav,normal
213,My Drive/set_b/murmur_noisymurmur_185_1308073325396_D.wav,murmur
214,My Drive/set_b/normal__103_1305031931979_D1.wav,normal
215,My Drive/set_b/normal__103_1305031931979_D3.wav,normal
216,My Drive/set_b/normal__107_1305654946865_C1.wav,normal
217,My Drive/set_b/normal__127_1306764300147_A.wav,normal
218,My Drive/set_b/normal__128_1306344005749_B.wav,normal
219,My Drive/set_b/normal__126_1306777102824_C.wav,normal
220,My Drive/set_b/normal__103_1305031931979_D2.wav,normal
221,My Drive/set_b/murmur_noisymurmur_200_1308144251434_D.wav,murmur
222,My Drive/set_b/murmur_noisymurmur_243_1309197760898_C.wav,murmur
223,My Drive/set_b/normal__103_1305031931979_B.wav,normal
224,My Drive/set_b/murmur_noisymurmur_288_1311164615284_B1.wav,murmur
225,My Drive/set_b/murmur_noisymurmur_240_1309201366049_D.wav,murmur
226,My Drive/set_b/normal__127_1306764300147_C1.wav,normal
227,My Drive/set_b/normal__129_1306344506305_D.wav,normal
228,My Drive/set_b/normal__106_1306776721273_D2.wav,normal
229,My Drive/set_b/normal__115_1306259437619_C.wav,normal
230,My Drive/set_b/normal__109_1305653646620_C.wav,normal
231,My Drive/set_b/murmur_noisymurmur_240_1309201366049_C.wav,murmur
232,My Drive/set_b/normal__126_1306777102824_D.wav,normal
233,My Drive/set_b/murmur_noisymurmur_293_1311680805936_D.wav,murmur
234,My Drive/set_b/normal__126_1306777102824_B.wav,normal
235,My Drive/set_b/murmur_noisymurmur_243_1309197760898_B.wav,murmur
236,My Drive/set_b/normal__140_1306519735121_B.wav,normal
237,My Drive/set_b/normal__152_1306779561195_B1.wav,normal
238,My Drive/set_b/normal__151_1306779785624_A.wav,normal
239,My Drive/set_b/normal__154_1306935608852_B.wav,normal
240,My Drive/set_b/normal__149_1306776016110_B.wav,normal
241,My Drive/set_b/normal__152_1306779561195_D.wav,normal
242,My Drive/set_b/normal__150_1306776340746_B.wav,normal
243,My Drive/set_b/normal__137_1306764999211_C.wav,normal
244,My Drive/set_b/normal__146_1306778707532_D2.wav,normal
245,My Drive/set_b/normal__141_1306520154450_B.wav,normal
246,My Drive/set_b/normal__140_1306519735121_A.wav,normal
247,My Drive/set_b/normal__146_1306778707532_B.wav,normal
248,My Drive/set_b/normal__145_1307987561278_C.wav,normal
249,My Drive/set_b/normal__153_1306848820671_B.wav,normal
250,My Drive/set_b/normal__150_1306776340746_C.wav,normal
251,My Drive/set_b/normal__137_1306764999211_D.wav,normal
252,My Drive/set_b/normal__146_1306778707532_D4.wav,normal
253,My Drive/set_b/normal__153_1306848820671_B1.wav,normal
254,My Drive/set_b/normal__139_1306519274653_A.wav,normal
255,My Drive/set_b/normal__145_1307987561278_B.wav,normal
256,My Drive/set_b/normal__146_1306778707532_D1.wav,normal
257,My Drive/set_b/normal__146_1306778707532_A.wav,normal
258,My Drive/set_b/normal__140_1306519735121_D1.wav,normal
259,My Drive/set_b/normal__149_1306776016110_C1.wav,normal
260,My Drive/set_b/normal__148_1306768801551_D2.wav,normal
261,My Drive/set_b/normal__179_1307990076841_B.wav,normal
262,My Drive/set_b/normal__183_1308072703477_C.wav,normal
263,My Drive/set_b/normal__194_1308139824187_A1.wav,normal
264,My Drive/set_b/normal__194_1308139824187_A.wav,normal
265,My Drive/set_b/normal__170_1307970562729_A.wav,normal
266,My Drive/set_b/normal__170_1307970562729_B.wav,normal
267,My Drive/set_b/normal__178_1307989887769_B.wav,normal
268,My Drive/set_b/normal__191_1308077299430_B.wav,normal
269,My Drive/set_b/normal__180_1307990956284_C.wav,normal
270,My Drive/set_b/normal__178_1307989887769_D.wav,normal
271,My Drive/set_b/normal__172_1307971284351_B.wav,normal
272,My Drive/set_b/normal__184_1308073010307_D.wav,normal
273,My Drive/set_b/normal__168_1307970069434_A.wav,normal
274,My Drive/set_b/normal__170_1307970562729_C.wav,normal
275,My Drive/set_b/normal__183_1308072703477_B.wav,normal
276,My Drive/set_b/normal__167_1307111318050_A.wav,normal
277,My Drive/set_b/normal__184_1308073010307_B.wav,normal
278,My Drive/set_b/normal__168_1307970069434_A2.wav,normal
279,My Drive/set_b/normal__188_1308074301731_C.wav,normal
280,My Drive/set_b/normal__175_1307987962616_D.wav,normal
281,My Drive/set_b/normal__177_1307989650056_B.wav,normal
282,My Drive/set_b/normal__198_1308141739338_C.wav,normal
283,My Drive/set_b/normal__217_1308246111629_C.wav,normal
284,My Drive/set_b/normal__201_1308144942432_A1.wav,normal
285,My Drive/set_b/normal__207_1308159792607_C.wav,normal
286,My Drive/set_b/normal__224_1308337157445_C.wav,normal
287,My Drive/set_b/normal__204_1308159229275_C.wav,normal
288,My Drive/set_b/normal__204_1308159229275_D.wav,normal
289,My Drive/set_b/normal__235_1308749032454_D.wav,normal
290,My Drive/set_b/normal__220_1308250132896_C.wav,normal
291,My Drive/set_b/normal__213_1308245263936_C.wav,normal
292,My Drive/set_b/normal__202_1308145175747_C.wav,normal
293,My Drive/set_b/normal_noisynormal_107_1305654946865_A.wav,normal
294,My Drive/set_b/normal_noisynormal_101_1305030823364_E.wav,normal
295,My Drive/set_b/normal_noisynormal_113_1306244002866_A.wav,normal
296,My Drive/set_b/normal__299_1311770522820_C.wav,normal
297,My Drive/set_b/normal__260_1309353164458_C.wav,normal
298,My Drive/set_b/normal_noisynormal_105_1305033453095_C.wav,normal
299,My Drive/set_b/normal_noisynormal_109_1305653972028_E.wav,normal
300,My Drive/set_b/normal_noisynormal_109_1305653972028_A.wav,normal
301,My Drive/set_b/normal__298_1311685888900_B.wav,normal
302,My Drive/set_b/normal__300_1311772096120_C1.wav,normal
303,My Drive/set_b/normal_noisynormal_110_1305655332337_A.wav,normal
304,My Drive/set_b/normal_noisynormal_101_1305030823364_B.wav,normal
305,My Drive/set_b/normal__294_1311681084248_A.wav,normal
306,My Drive/set_b/normal_noisynormal_109_1305653972028_C.wav,normal
307,My Drive/set_b/normal__294_1311681084248_D1.wav,normal
308,My Drive/set_b/normal__286_1311170606028_C.wav,normal
309,My Drive/set_b/normal_noisynormal_109_1305653972028_F.wav,normal
310,My Drive/set_b/normal_noisynormal_110_1305655332337_B.wav,normal
311,My Drive/set_b/normal__294_1311681084248_B.wav,normal
312,My Drive/set_b/normal_noisynormal_104_1305032492469_A.wav,normal
313,My Drive/set_b/normal_noisynormal_108_1305654420093_B.wav,normal
314,My Drive/set_b/normal_noisynormal_109_1305653646620_A.wav,normal
315,My Drive/set_b/normal_noisynormal_106_1306776721273_A.wav,normal
316,My Drive/set_b/normal_noisynormal_105_1305033453095_A.wav,normal
317,My Drive/set_b/normal_noisynormal_108_1305654420093_A.wav,normal
318,My Drive/set_b/normal_noisynormal_140_1306519735121_C.wav,normal
319,My Drive/set_b/normal_noisynormal_121_1306263877235_A.wav,normal
320,My Drive/set_b/normal_noisynormal_125_1306332456645_B1.wav,normal
321,My Drive/set_b/normal_noisynormal_137_1306764999211_D1.wav,normal
322,My Drive/set_b/normal_noisynormal_133_1306759619127_A1.wav,normal
323,My Drive/set_b/normal_noisynormal_121_1306263877235_D.wav,normal
324,My Drive/set_b/normal_noisynormal_130_1306347376079_C.wav,normal
325,My Drive/set_b/normal_noisynormal_129_1306344506305_A.wav,normal
326,My Drive/set_b/normal_noisynormal_134_1306428161797_D1.wav,normal
327,My Drive/set_b/normal_noisynormal_113_1306244002866_B.wav,normal
328,My Drive/set_b/normal_noisynormal_133_1306759619127_C.wav,normal
329,My Drive/set_b/normal_noisynormal_136_1306429977501_B.wav,normal
330,My Drive/set_b/normal_noisynormal_130_1306347376079_B.wav,normal
331,My Drive/set_b/normal_noisynormal_141_1306520154450_C1.wav,normal
332,My Drive/set_b/normal_noisynormal_118_1306262335509_D.wav,normal
333,My Drive/set_b/normal_noisynormal_117_1306262456650_C.wav,normal
334,My Drive/set_b/normal_noisynormal_127_1306764300147_D1.wav,normal
335,My Drive/set_b/normal_noisynormal_138_1306762146980_A.wav,normal
336,My Drive/set_b/normal_noisynormal_117_1306262456650_A.wav,normal
337,My Drive/set_b/normal_noisynormal_121_1306263877235_C.wav,normal
338,My Drive/set_b/normal_noisynormal_136_1306429977501_C.wav,normal
339,My Drive/set_b/normal_noisynormal_115_1306259437619_A1.wav,normal
340,My Drive/set_b/normal_noisynormal_125_1306332456645_A2.wav,normal
341,My Drive/set_b/normal_noisynormal_138_1306762146980_D.wav,normal
342,My Drive/set_b/normal_noisynormal_117_1306262456650_D.wav,normal
343,My Drive/set_b/normal_noisynormal_129_1306344506305_C.wav,normal
344,My Drive/set_b/normal_noisynormal_132_1306758754432_C.wav,normal
345,My Drive/set_b/normal_noisynormal_115_1306259437619_B.wav,normal
346,My Drive/set_b/normal_noisynormal_125_1306332456645_C.wav,normal
347,My Drive/set_b/normal_noisynormal_125_1306332456645_D.wav,normal
348,My Drive/set_b/normal_noisynormal_118_1306262335509_B.wav,normal
349,My Drive/set_b/normal_noisynormal_139_1306519274653_D.wav,normal
350,My Drive/set_b/normal_noisynormal_123_1306331925797_C.wav,normal
351,My Drive/set_b/normal_noisynormal_123_1306331925797_B.wav,normal
352,My Drive/set_b/normal_noisynormal_136_1306429977501_D1.wav,normal
353,My Drive/set_b/normal_noisynormal_132_1306758754432_B1.wav,normal
354,My Drive/set_b/normal_noisynormal_118_1306262335509_C1.wav,normal
355,My Drive/set_b/normal_noisynormal_133_1306759619127_B1.wav,normal
356,My Drive/set_b/normal_noisynormal_134_1306428161797_B1.wav,normal
357,My Drive/set_b/normal_noisynormal_141_1306520154450_A1.wav,normal
358,My Drive/set_b/normal_noisynormal_143_1306763822290_A.wav,normal
359,My Drive/set_b/normal_noisynormal_142_1306763049574_D.wav,normal
360,My Drive/set_b/normal_noisynormal_142_1306763049574_A.wav,normal
361,My Drive/set_b/normal_noisynormal_154_1306935608852_C.wav,normal
362,My Drive/set_b/normal_noisynormal_151_1306779785624_C.wav,normal
363,My Drive/set_b/normal_noisynormal_167_1307111318050_B.wav,normal
364,My Drive/set_b/normal_noisynormal_198_1308141739338_D.wav,normal
365,My Drive/set_b/normal_noisynormal_149_1306776016110_A.wav,normal
366,My Drive/set_b/normal_noisynormal_144_1306522408528_C.wav,normal
367,My Drive/set_b/normal_noisynormal_167_1307111318050_A1.wav,normal
368,My Drive/set_b/normal_noisynormal_264_1309356143724_C.wav,normal
369,My Drive/set_b/normal_noisynormal_157_1306937583792_A.wav,normal
370,My Drive/set_b/normal_noisynormal_158_1306947254705_D.wav,normal
371,My Drive/set_b/normal_noisynormal_159_1307018640315_A1.wav,normal
372,My Drive/set_b/normal_noisynormal_146_1306778707532_D.wav,normal
373,My Drive/set_b/normal_noisynormal_188_1308074301731_A.wav,normal
374,My Drive/set_b/normal_noisynormal_157_1306937583792_B.wav,normal
375,My Drive/set_b/normal_noisynormal_169_1307970398039_A.wav,normal
376,My Drive/set_b/normal_noisynormal_172_1307971284351_A.wav,normal
377,My Drive/set_b/normal_noisynormal_159_1307018640315_B.wav,normal
378,My Drive/set_b/normal_noisynormal_207_1308159792607_D.wav,normal
379,My Drive/set_b/normal_noisynormal_182_1308053371395_B.wav,normal
380,My Drive/set_b/normal_noisynormal_264_1309356143724_B.wav,normal
381,My Drive/set_b/normal_noisynormal_168_1307970069434_A1.wav,normal
382,My Drive/set_b/normal_noisynormal_258_1309352253234_A.wav,normal
383,My Drive/set_b/normal_noisynormal_150_1306776340746_A.wav,normal
384,My Drive/set_b/normal_noisynormal_142_1306763049574_B.wav,normal
385,My Drive/set_b/normal_noisynormal_147_1306523973811_B.wav,normal
386,My Drive/set_b/normal_noisynormal_246_1309199278902_D.wav,normal
387,My Drive/set_b/normal_noisynormal_216_1308245839516_D.wav,normal
388,My Drive/set_b/normal_noisynormal_181_1308052613891_A.wav,normal
389,My Drive/set_b/normal_noisynormal_155_1306935902813_C.wav,normal
390,My Drive/set_b/normal_noisynormal_155_1306935902813_A.wav,normal
391,My Drive/set_b/normal_noisynormal_144_1306522408528_A1.wav,normal
392,My Drive/set_b/normal_noisynormal_271_1309369876160_A.wav,normal
393,My Drive/set_b/normal_noisynormal_271_1309369876160_D.wav,normal
394,My Drive/set_b/normal_noisynormal_270_1309369533040_A.wav,normal
395,My Drive/set_b/normal_noisynormal_296_1311682952647_D.wav,normal
396,My Drive/set_b/normal_noisynormal_285_1311169246969_C.wav,normal
397,My Drive/set_b/normal_noisynormal_284_1311168471850_A.wav,normal
398,My Drive/set_b/normal_noisynormal_296_1311682952647_C.wav,normal
399,My Drive/set_b/normal_noisynormal_284_1311168471850_B.wav,normal
400,My Drive/set_b/normal_noisynormal_278_1311163365896_B.wav,normal
401,My Drive/set_b/normal_noisynormal_264_1309356143724_D.wav,normal
402,My Drive/set_b/normal_noisynormal_270_1309369533040_B.wav,normal
403,My Drive/set_b/normal_noisynormal_271_1309369876160_C.wav,normal
